Apple,SSD,2560,2.3,8,128,0,856
Apple,Flash,1440,1.8,8,128,0,574
HP,SSD,1920,2.5,8,256,0,367
Apple,SSD,2880,2.7,16,512,0,1622
Apple,SSD,2560,3.1,8,256,0,1153
Acer,HDD,1366,3,4,500,0,255
Apple,Flash,2880,2.2,16,256,0,1368
Apple,Flash,1440,1.8,8,256,0,740
Asus,SSD,1920,1.8,16,512,0,955
Acer,SSD,1920,1.6,8,256,0,492
HP,HDD,1366,2.5,4,500,0,251
HP,HDD,1920,2,4,500,0,220
Apple,SSD,2880,2.8,16,256,0,1560
Dell,SSD,1920,2,4,256,0,318
Apple,SSD,2304,1.2,8,256,0,807
Apple,SSD,2560,2.3,8,256,0,970
Dell,SSD,1920,2.7,8,256,0,476
Apple,SSD,2880,2.9,16,512,0,1827
Lenovo,HDD,1920,2.4,8,1024,0,319
Dell,SSD,1920,1.6,8,128,0,625
Asus,Flash,1366,1.44,2,32,0,122
Lenovo,SSD,1920,2.5,8,128,1024,638
HP,HDD,1366,1.5,4,500,0,164
Dell,SSD,1920,1.6,8,256,0,523
HP,SSD,1920,1.8,8,256,0,421
Dell,HDD,1366,2,4,1024,0,267
Apple,Flash,1440,1.6,8,128,0,702
Dell,SSD,1920,1.6,8,256,0,511
Dell,SSD,1920,1.9,8,256,256,829
HP,HDD,1920,1.6,8,1024,0,572
Chuwi,Flash,1920,1.44,4,64,0,156
Asus,Flash,1366,1.5,2,32,0,127
HP,HDD,1920,2.5,4,500,0,280
Dell,SSD,3200,1.8,16,512,0,1194
Apple,Flash,1440,1.6,8,256,0,638
Lenovo,Flash,1366,1.1,4,64,0,159
Acer,HDD,1366,2.7,4,1024,0,234
Dell,SSD,1920,1.6,8,128,1024,625
HP,HDD,1366,2.5,4,1024,0,312
HP,SSD,1920,1.6,8,256,0,561
Asus,HDD,1920,2,4,1024,0,248
Dell,SSD,1920,2.8,16,256,1024,958
Asus,HDD,1366,2.5,8,1024,0,334
Acer,SSD,1920,1.6,4,256,0,436
Dell,HDD,1920,1.6,12,1024,0,638
Apple,SSD,2560,2,8,256,0,907
Lenovo,SSD,1366,2,4,128,0,235
Asus,SSD,1920,3,8,256,1024,830
Dell,SSD,1920,2.5,4,256,0,408
Asus,HDD,1366,1.1,4,1024,0,297
Lenovo,Flash,1920,1.44,4,64,0,203
Acer,SSD,1920,1.8,8,256,0,537
HP,SSD,1920,2.5,4,256,0,254
HP,SSD,1920,1.8,8,512,0,705
Acer,HDD,1366,2.4,4,1024,0,245
Dell,SSD,1920,1.8,8,256,0,490
HP,SSD,1920,2,4,128,0,280
Asus,SSD,1366,2.5,4,256,0,374
MSI,SSD,1920,2.8,16,256,2048,1565
Asus,SSD,1920,2,4,256,0,265
Dell,SSD,1920,1.8,16,256,2048,830
Dell,SSD,1920,1.6,8,256,0,561
Lenovo,SSD,1920,2.7,8,256,0,382
Asus,SSD,1920,1.6,8,256,0,601
HP,SSD,1920,2.5,8,256,0,441
Asus,SSD,1920,2.8,16,512,0,1267
HP,HDD,1366,2,4,500,0,280
HP,SSD,1366,1.6,4,32,0,146
Lenovo,HDD,1920,2.5,4,1024,0,351
Asus,HDD,1920,2.8,12,1024,0,606
Microsoft,SSD,2256,2.5,4,128,0,696
Dell,SSD,1920,1.8,8,256,0,610
Dell,SSD,1920,1.8,8,256,0,556
MSI,SSD,1920,2.5,8,128,1024,700
Acer,HDD,1366,2,8,1024,0,248
Asus,HDD,1920,2.8,8,1024,0,606
Lenovo,HDD,1920,2.5,8,2048,0,331
Dell,SSD,1920,1.8,8,128,1024,546
Acer,HDD,1920,2.7,4,1024,0,338
HP,SSD,1920,1.6,8,128,1024,624
Dell,SSD,1920,1.6,8,256,0,700
Apple,SSD,2304,1.3,8,512,0,965
